Stiffness_N_m,Damping_Ns_m,RMS_Acceleration_m_s2,Max_Suspension_Travel_m,Max_Tire_Deflection_m,Max_Dynamic_Tire_Force_N
10000,500,1.10581038946013,0.103839692736015,0.0173033434855762,3287.63526225948
11000,500,1.1965525300928,0.0994701973749715,0.0171627166682395,3260.91616696551
12000,500,1.29339267446845,0.0971340093878108,0.0170815337725192,3245.49141677865
13000,500,1.40591157788942,0.096214717838154,0.0170943645621245,3247.92926680365
14000,500,1.53132995498035,0.0953061110760043,0.0171225159749674,3253.2780352438
15000,500,1.65651997910757,0.0944243461686775,0.0171506105286314,3258.61600043997
16000,500,1.7695748578739,0.0935522015352595,0.0171786483302026,3263.94318273849
17000,500,1.86855158455599,0.0926895781672098,0.0172066294865841,3269.25960245099
18000,500,1.96302275413201,0.0918454773264912,0.0172345541044969,3274.56527985441
19000,500,2.06750145558908,0.0910176074674383,0.0172624222904796,3279.86023519112
20000,500,2.19069404898428,0.0943100715282859,0.0173306020785509,3292.81439492467
21000,500,2.32968811599683,0.0979161777237508,0.017960117659075,3412.42235522425
22000,500,2.47355878204733,0.0989319954908634,0.0183836762745718,3492.89849216865
23000,500,2.61243827012272,0.0977654136565927,0.0187772771426443,3567.68265710241
24000,500,2.74492102009621,0.0956157510953981,0.0194581130147114,3697.04147279517
25000,500,2.87954345949639,0.0937565371710223,0.0200078058541855,3801.48311229525
10000,750,1.19046215943226,0.0971671008034082,0.0178318110175267,3388.04409333007
11000,750,1.26053062748408,0.0949044492149618,0.0177895274708258,3380.01021945691
12000,750,1.33523884139357,0.0928721462033712,0.0177515418280955,3372.79294733814
13000,750,1.41547010556843,0.0920290367058654,0.0177805164224252,3378.29812026078
14000,750,1.5006302297608,0.0911950492037656,0.0178094310066674,3383.79189126681
15000,750,1.58852582425028,0.0903800049021555,0.0178382856972782,3389.27428248287
16000,750,1.67689869040434,0.089579082856101,0.0178670806105083,3394.74531599658
17000,750,1.76508194273747,0.0887866772102758,0.0178984521760202,3400.70591344384
18000,750,1.85446336950972,0.0880034658287246,0.0179299209449428,3406.68497953913
19000,750,1.94749287024912,0.0872422229296751,0.0179613219224669,3412.6511652687
20000,750,2.04604667318408,0.0878598536936396,0.0180316532525456,3426.01411798366
21000,750,2.1504082899394,0.0891090629644901,0.0183120684011825,3479.29299622468
22000,750,2.25954532382492,0.0896883669472921,0.0185490178654379,3524.3133944332
23000,750,2.37231205500897,0.0895599113228891,0.0187201602906149,3556.83045521682
24000,750,2.48861088235025,0.0889221588908905,0.0188319008898901,3578.06116907911
25000,750,2.60973062683513,0.0894140547114805,0.0189073108775863,3592.38906674139
10000,1000,1.35540236916131,0.091897180632902,0.0184466568616119,3504.86480370627
11000,1000,1.40805763356675,0.0905018547777956,0.018442509839307,3504.07686946832
12000,1000,1.46482053905204,0.089038672928418,0.0184499981511976,3505.49964872754
13000,1000,1.52558622283936,0.0882610206792494,0.0184824673068536,3511.66878830219
14000,1000,1.59007356062224,0.0874915581883435,0.0185148649514857,3517.82434078229
15000,1000,1.65776511222769,0.0867387584188649,0.0185471912334066,3523.96633434725
16000,1000,1.72812034033016,0.0859991149706293,0.0185794463006487,3530.09479712326
17000,1000,1.80086949850951,0.0852671292231647,0.0186116303009651,3536.20975718338
18000,1000,1.87614504019776,0.0845427240268732,0.0186437433818295,3542.31124254761
19000,1000,1.95436147649597,0.0838376359487114,0.018675785690437,3548.39928118304
20000,1000,2.03595096404178,0.0836892061734625,0.0187509051593503,3562.67198027656
21000,1000,2.12115059494013,0.083959814021834,0.0189022516069595,3591.42780532231
