Damping_Ns_m,RMS_Acceleration_m_s2,Max_Suspension_Travel_m,Max_Tire_Deflection_m
500,1.78849326655151,0.0933944982274595,0.0171837451140863
750,1.6929466051939,0.0894342336420194,0.0178726602201846
1000,1.74118392185186,0.0858653258128532,0.0185853090744572
1250,1.86042499197752,0.0826162509403448,0.0193046674499615
1500,2.01798142236725,0.0796320951423433,0.0200344596799495
1750,2.19669003692747,0.0768723546587011,0.0207624646215139
2000,2.38692715391899,0.0757017591750839,0.022468685011737
2250,2.58306888890881,0.0753513924814804,0.0251824958788998
2500,2.78172182313906,0.0749457407241263,0.0277723671073857
2750,2.98078754185673,0.0744878336797684,0.0302460725053024
3000,3.17894682331727,0.0739741552292513,0.0326114438536036
3250,3.3753641500819,0.0734107875561181,0.0348748547763856
3500,3.56951237332859,0.0728044053887853,0.0370444409431008
3750,3.76106531920169,0.0721615087700727,0.0391244820527662
4000,3.94983013637965,0.0714883719427436,0.041117789451925
4250,4.13570361835088,0.0707908573687581,0.043027950683868
4500,4.3186433955393,0.0700742122391825,0.0448671207038182
4750,4.4986485809114,0.069343019988886,0.046629333093111
5000,4.67574655926611,0.0686012837307625,0.0483259541408019
