Stiffness_N_m,RMS_Acceleration_m_s2,Max_Suspension_Travel_m,Max_Tire_Deflection_m
10000,1.19046215943226,0.0971671008034082,0.0178318110175267
11000,1.26053062748408,0.0949044492149618,0.0177895274708258
12000,1.33523884139357,0.0928721462033712,0.0177515418280955
13000,1.41547010556843,0.0920290367058654,0.0177805164224252
14000,1.5006302297608,0.0911950492037656,0.0178094310066674
15000,1.58852582425028,0.0903800049021555,0.0178382856972782
16000,1.67689869040434,0.0895790822102758,0.0178670806105083
17000,1.76508194273747,0.0887866772102758,0.0178984521760202
18000,1.85446336950972,0.0880034658287246,0.0179299209449428
19000,1.94749287024912,0.0872422229296751,0.0179613219224669
20000,2.04604667318408,0.0878598536936396,0.0180316532525456
21000,2.1504082899394,0.0891090629644901,0.0183120684011825
22000,2.25954532382492,0.0896883669472921,0.0185490178654379
23000,2.37231205500897,0.0895599113228891,0.0187201602906149
24000,2.48861088235025,0.0889221588908905,0.0188319008898901
25000,2.60973062683513,0.0894140547114805,0.0189073108775863
